date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
2018-09-06,2018,0,0,PHI,ATL,1646.78633024053,1600.64043975438,0.6547098712793279,18,12,1
2018-09-09,2018,0,0,NE,HOU,1651.07866316301,1397.60339308215,0.8621533147936626,27,20,1
2018-09-09,2018,0,0,NO,TB,1584.49034000186,1469.48163570713,0.7381187181095176,40,48,0
2018-09-09,2018,0,0,NYG,JAX,1411.67749395219,1534.81840442546,0.41710088971996534,15,20,0
2018-09-09,2018,0,0,MIA,TEN,1449.87052976668,1495.84121855754,0.5273580291341761,27,20,1
2018-09-09,2018,0,0,MIN,SF,1602.21954601131,1469.47444465653,0.7573696417027392,24,16,1
2018-09-09,2018,0,0,BAL,BUF,1535.27010310843,1502.21656685286,0.637479599837391,47,3,1
2018-09-09,2018,0,0,IND,CIN,1406.90437553377,1474.61525585553,0.4960988087812779,23,34,0
2018-09-09,2018,0,0,CLE,PIT,1301.91016427273,1595.80293305501,0.21121575331620662,21,21,0.5
2018-09-09,2018,0,0,LAC,KC,1544.92253540731,1570.89267478213,0.555933396648242,28,38,0
2018-09-09,2018,0,0,CAR,DAL,1549.96144497179,1547.23976166891,0.5962435430719865,16,8,1
2018-09-09,2018,0,0,ARI,WSH,1482.65441734498,1471.50239394001,0.6078696803262796,6,24,0
2018-09-09,2018,0,0,DEN,SEA,1450.22760485036,1545.04615044037,0.4571927161779255,27,24,1
2018-09-09,2018,0,0,GB,CHI,1471.71966634923,1443.86214725365,0.630539238951821,24,23,1
2018-09-10,2018,0,0,DET,NYJ,1523.50845039037,1432.47573286543,0.7105787466951896,17,48,0
2018-09-10,2018,0,0,OAK,LAR,1464.89534084128,1529.94865571189,0.4999232737341635,13,33,0
2018-09-13,2018,0,0,CIN,BAL,1499.24009725248,1561.69232636884,0.5036664713156356,34,23,1
2018-09-16,2018,0,0,NYJ,MIA,1485.48922529915,1469.35859110872,0.6146794843528346,12,20,0
2018-09-16,2018,0,0,WSH,IND,1508.58261287853,1382.27953413682,0.7504903204677795,9,21,0
2018-09-16,2018,0,0,TB,PHI,1504.80839876908,1659.57814793535,0.3736110512755406,27,21,1
2018-09-16,2018,0,0,PIT,KC,1586.99545365433,1598.03561476961,0.5770360523250477,37,42,0
2018-09-16,2018,0,0,BUF,LAC,1475.79434359245,1517.77959541983,0.5330725254102869,20,31,0
2018-09-16,2018,0,0,GB,MIN,1476.63405376296,1612.00248290103,0.4000940520599209,29,29,0.5
2018-09-16,2018,0,0,TEN,HOU,1476.3531572155,1392.59546563165,0.701890827983209,20,17,1
2018-09-16,2018,0,0,ATL,CAR,1587.84862205956,1567.17445622705,0.6208553060388963,31,24,1
2018-09-16,2018,0,0,NO,CLE,1549.16357693991,1310.71764367341,0.8515455994095654,21,18,1
2018-09-16,2018,0,0,LAR,ARI,1560.38847051292,1445.57419840646,0.7379023116333612,34,0,1
2018-09-16,2018,0,0,SF,DET,1459.69150776681,1470.49495795665,0.5773685852455788,30,27,1
2018-09-16,2018,0,0,DEN,OAK,1465.48420457347,1434.45552604025,0.6347816086484616,20,19,1
2018-09-16,2018,0,0,JAX,NE,1549.38045255708,1656.08659061351,0.44026667811658077,31,20,1
2018-09-16,2018,0,0,DAL,NYG,1530.02675041365,1397.11544582057,0.7575454102859296,20,13,1
2018-09-17,2018,0,0,CHI,SEA,1438.94775983992,1529.78955071726,0.4628791014494539,24,17,1
2018-09-20,2018,0,0,CLE,NYJ,1307.10052304371,1457.44317807798,0.3795940067683941,21,17,1
2018-09-23,2018,0,0,CAR,CIN,1551.99731221261,1523.87841388686,0.6308896855402122,31,21,1
2018-09-23,2018,0,0,WSH,GB,1466.41663732728,1479.68103291294,0.5739080634379407,31,17,1
2018-09-23,2018,0,0,PHI,IND,1634.16317204242,1424.44550968807,0.8294029816523385,20,16,1
2018-09-23,2018,0,0,MIN,BUF,1608.95550375105,1449.0215575424,0.7849625614761979,6,27,0
2018-09-23,2018,0,0,MIA,OAK,1497.40463832989,1429.60427813237,0.6823213341851813,28,20,1
2018-09-23,2018,0,0,HOU,NYG,1384.853606653,1387.86427528157,0.5882750971178594,22,27,0
2018-09-23,2018,0,0,JAX,TEN,1577.73569344432,1484.09501619415,0.7136564042401148,6,9,0
2018-09-23,2018,0,0,KC,SF,1619.23374167386,1471.1276126064,0.7732470486644328,38,27,1
2018-09-23,2018,0,0,ATL,NO,1603.025766074,1552.78069756961,0.6600246217540339,37,43,0
2018-09-23,2018,0,0,BAL,DEN,1537.05400973446,1470.33545248135,0.6809699687026924,27,14,1
2018-09-23,2018,0,0,LAR,LAC,1577.61726640838,1544.55238146988,0.6374946970232367,35,23,1
2018-09-23,2018,0,0,ARI,CHI,1428.345402511,1461.55149962537,0.5456278110891145,14,16,0
2018-09-23,2018,0,0,SEA,DAL,1507.18581093181,1539.27792095265,0.547217146483705,24,13,1
2018-09-23,2018,0,0,DET,NE,1459.05885311706,1627.73134972627,0.35507915242794663,26,10,1
2018-09-24,2018,0,0,TB,PIT,1530.22337466201,1565.79732675008,0.5422465205251608,27,30,0
2018-09-27,2018,0,0,LAR,MIN,1595.41987111366,1554.90186120318,0.6473498741688449,38,31,1
2018-09-30,2018,0,0,JAX,NYJ,1556.41124317739,1436.66713278849,0.7433536016282065,31,12,1
2018-09-30,2018,0,0,IND,HOU,1419.56379175185,1363.16143756588,0.6679323377508967,34,37,0
2018-09-30,2018,0,0,GB,BUF,1457.13369320829,1503.07520009027,0.5273998993543588,22,0,1
2018-09-30,2018,0,0,DAL,DET,1517.10709265242,1497.41007797234,0.6195303330803041,26,24,1
2018-09-30,2018,0,0,TEN,PHI,1505.41946646108,1639.04488997864,0.4025046881861863,26,23,1
2018-09-30,2018,0,0,NE,MIA,1589.38012487099,1510.57014571829,0.6958973353155863,38,7,1
2018-09-30,2018,0,0,CHI,TB,1473.71596611238,1514.98529217568,0.5340981764236683,48,10,1
2018-09-30,2018,0,0,ATL,CIN,1575.91882031719,1506.89548872387,0.683845352299809,36,37,0
2018-09-30,2018,0,0,OAK,CLE,1416.43877074397,1327.8765683332,0.7076452807500113,45,42,1
2018-09-30,2018,0,0,ARI,SEA,1416.18093602399,1529.35663923204,0.43111053360787066,17,20,0
2018-09-30,2018,0,0,LAC,SF,1526.7497767646,1460.85361925269,0.6799406031983618,29,27,1
2018-09-30,2018,0,0,NYG,NO,1409.55644436869,1579.88764332642,0.3528956588614763,18,33,0
2018-09-30,2018,0,0,PIT,BAL,1581.03540923641,1552.94156003641,0.6308561066703883,14,26,0
2018-10-01,2018,0,0,DEN,KC,1454.4479021794,1629.50773502757,0.34670481607118814,23,27,0
2018-10-04,2018,0,0,NE,IND,1609.16557652038,1399.96315535494,0.8289829060164808,38,24,1
2018-10-07,2018,0,0,CLE,BAL,1320.2996507882,1586.73376974304,0.23874942582967174,12,9,1
2018-10-07,2018,0,0,BUF,TEN,1473.69303868661,1522.51894451196,0.5232595925805253,13,12,1
2018-10-07,2018,0,0,PIT,ATL,1547.24319952978,1565.82372033571,0.5664083279213389,41,17,1
2018-10-07,2018,0,0,NYJ,DEN,1422.48148855675,1443.81960841451,0.5625057973666681,34,16,1
2018-10-07,2018,0,0,CIN,MIA,1516.99058870535,1490.7846940689,0.6283216374570613,27,17,1
2018-10-07,2018,0,0,KC,JAX,1640.13602879246,1570.59688740913,0.6844869538743459,30,14,1
2018-10-07,2018,0,0,DET,GB,1489.36021378915,1486.51585461195,0.5964135350764752,31,23,1
2018-10-07,2018,0,0,CAR,NYG,1568.9802373756,1390.88185259182,0.802086563731758,33,31,1
2018-10-07,2018,0,0,LAC,OAK,1533.38728060751,1424.01568828897,0.7317978981620987,26,10,1
2018-10-07,2018,0,0,PHI,MIN,1621.94541192776,1540.90679631975,0.6986054328056355,21,23,0
2018-10-07,2018,0,0,SEA,LAR,1541.0534245144,1609.41493599709,0.49516254704941215,31,33,0
2018-10-07,2018,0,0,SF,ARI,1454.21611540978,1404.48415074163,0.6593615300914164,18,28,0
2018-10-07,2018,0,0,HOU,DAL,1382.76207396279,1525.15695683561,0.39042627200755353,19,16,1
2018-10-08,2018,0,0,NO,WSH,1598.56223510329,1488.96397703193,0.7320539120623053,43,19,1
2018-10-11,2018,0,0,NYG,PHI,1386.96595386283,1605.50408696095,0.292383384623382,13,34,0
2018-10-14,2018,0,0,CLE,LAC,1343.53329301573,1547.46866793405,0.3100733708061145,14,38,0
2018-10-14,2018,0,0,ATL,TB,1538.48696439232,1481.21238830933,0.669045029313244,34,29,1
2018-10-14,2018,0,0,MIA,CHI,1473.66933364333,1507.48886997873,0.5447522125950206,31,28,1
2018-10-14,2018,0,0,HOU,BUF,1400.27929327942,1480.2538300458,0.47846324338454727,20,13,1
2018-10-14,2018,0,0,CIN,PIT,1534.10594913092,1574.57995547317,0.535237230660554,21,28,0
2018-10-14,2018,0,0,MIN,ARI,1557.34812128656,1437.84557682615,0.7430882211816509,27,17,1
2018-10-14,2018,0,0,NYJ,IND,1447.74362799538,1391.72720571765,0.6674394054054225,42,34,1
2018-10-14,2018,1,0,OAK,SEA,1409.93430096243,1530.19018991825,0.33353306043891184,3,27,0
2018-10-14,2018,0,0,WSH,CAR,1472.98260081237,1572.89613610459,0.44992382826933025,23,17,1
2018-10-14,2018,0,0,DEN,LAR,1418.55746897588,1620.27817059324,0.31280725231827117,20,23,0
2018-10-14,2018,0,0,TEN,BAL,1515.95815315277,1563.50012751551,0.5251029946521157,0,21,0
2018-10-14,2018,0,0,DAL,JAX,1507.63973751898,1553.74889660311,0.5271593466395041,40,7,1
2018-10-14,2018,0,0,NE,KC,1617.40152615767,1656.98401959848,0.5365136150781321,43,40,1
